Index,Category,Landmark_X,Landmark_Y,User_ID
6,right_eye_border,326,214,1
6,right_eye_border,328,216,1
6,right_eye_border,325,218,1
6,right_eye_border,321,219,1
6,right_eye_border,317,221,1
6,right_eye_border,310,222,1
6,right_eye_border,303,222,1
6,right_eye_border,297,222,1
6,right_eye_border,292,221,1
6,face_grid,255,164,1
6,face_grid,280,161,1
6,face_grid,304,161,1
6,face_grid,328,167,1
6,face_grid,346,179,1
6,face_grid,361,196,1
6,face_grid,371,215,1
6,face_grid,377,238,1
6,face_grid,380,260,1
6,face_grid,376,271,1
6,face_grid,379,303,1
6,face_grid,373,326,1
6,face_grid,365,343,1
6,face_grid,355,354,1
6,face_grid,342,365,1
6,face_grid,330,373,1
6,face_grid,317,380,1
6,face_grid,302,386,1
6,face_grid,282,391,1
6,face_grid,263,392,1
6,face_grid,249,390,1
6,face_grid,238,387,1
6,face_grid,228,383,1
6,face_grid,216,376,1
6,face_grid,209,367,1
6,face_grid,201,354,1
6,face_grid,193,334,1
6,face_grid,188,313,1
6,face_grid,185,293,1
6,face_grid,182,272,1
6,face_grid,181,249,1
6,face_grid,183,228,1
6,face_grid,188,208,1
6,face_grid,197,192,1
6,face_grid,213,178,1
6,face_grid,231,170,1
6,right_pupil,312,215,1
6,right_pupil,321,213,1
6,right_pupil,311,207,1
6,right_pupil,304,216,1
6,right_pupil,313,222,1
6,left_pupil,219,231,1
6,left_pupil,227,229,1
6,left_pupil,217,224,1
6,left_pupil,210,233,1
6,left_pupil,220,239,1
1,left_eye_border,183,247,2
1,left_eye_border,185,245,2
1,left_eye_border,187,242,2
1,left_eye_border,192,239,2
1,left_eye_border,199,236,2
1,left_eye_border,205,236,2
1,left_eye_border,212,236,2
1,left_eye_border,217,238,2
1,left_eye_border,220,240,2
1,left_eye_border,218,241,2
1,left_eye_border,214,243,2
1,left_eye_border,208,245,2
1,left_eye_border,202,247,2
1,left_eye_border,195,248,2
1,left_eye_border,190,249,2
1,left_eye_border,186,249,2
1,right_eye_border,273,228,2
1,right_eye_border,276,226,2
1,right_eye_border,280,222,2
1,right_eye_border,287,218,2
1,right_eye_border,294,216,2
1,right_eye_border,301,216,2
1,right_eye_border,307,217,2
1,right_eye_border,311,219,2
1,right_eye_border,313,220,2
1,right_eye_border,310,223,2
1,right_eye_border,307,225,2
1,right_eye_border,301,227,2
1,right_eye_border,294,228,2
1,right_eye_border,287,229,2
1,right_eye_border,280,229,2
1,right_eye_border,276,229,2
1,face_grid,235,172,2
1,face_grid,262,168,2
1,face_grid,285,167,2
1,face_grid,309,172,2
1,face_grid,327,183,2
1,face_grid,341,199,2
1,face_grid,351,217,2
1,face_grid,358,239,2
1,face_grid,361,260,2
1,face_grid,359,273,2
1,face_grid,362,303,2
1,face_grid,358,327,2
1,face_grid,350,345,2
1,face_grid,342,358,2
1,face_grid,330,369,2
1,face_grid,319,377,2
1,face_grid,306,385,2
1,face_grid,291,392,2
1,face_grid,271,397,2
1,face_grid,251,399,2
1,face_grid,237,398,2
1,face_grid,225,394,2
1,face_grid,214,390,2
1,face_grid,203,383,2
1,face_grid,195,374,2
1,face_grid,186,360,2
1,face_grid,176,340,2
1,face_grid,170,319,2
1,face_grid,166,300,2
1,face_grid,161,280,2
1,face_grid,160,257,2
1,face_grid,161,237,2
1,face_grid,166,218,2
1,face_grid,175,201,2
1,face_grid,192,188,2
1,face_grid,211,179,2
1,right_pupil,298,220,2
1,right_pupil,307,218,2
1,right_pupil,296,212,2
1,right_pupil,289,222,2
1,right_pupil,299,228,2
1,left_pupil,200,240,2
1,left_pupil,209,238,2
1,left_pupil,198,233,2
1,left_pupil,191,242,2
1,left_pupil,202,248,2
2,left_eye_border,181,249,2
2,left_eye_border,183,246,2
2,left_eye_border,185,244,2
2,left_eye_border,190,240,2
2,left_eye_border,197,237,2
2,left_eye_border,204,237,2
2,left_eye_border,212,237,2
2,left_eye_border,217,240,2
2,left_eye_border,219,241,2
2,left_eye_border,217,243,2
2,left_eye_border,213,245,2
2,left_eye_border,207,248,2
2,left_eye_border,201,250,2
2,left_eye_border,194,251,2
2,left_eye_border,188,251,2
2,left_eye_border,184,250,2
2,right_eye_border,276,230,2
2,right_eye_border,278,227,2
2,right_eye_border,283,223,2
2,right_eye_border,290,219,2
2,right_eye_border,298,217,2
2,right_eye_border,306,217,2
2,right_eye_border,312,218,2
2,right_eye_border,316,220,2
2,right_eye_border,319,221,2
2,right_eye_border,316,225,2
2,right_eye_border,312,227,2
2,right_eye_border,306,229,2
2,right_eye_border,299,230,2
2,right_eye_border,291,231,2
2,right_eye_border,284,231,2
2,right_eye_border,279,231,2
2,face_grid,235,169,2
2,face_grid,262,165,2
2,face_grid,287,164,2
2,face_grid,312,170,2
2,face_grid,331,181,2
2,face_grid,345,197,2
2,face_grid,356,214,2
2,face_grid,363,237,2
2,face_grid,367,258,2
2,face_grid,364,272,2
2,face_grid,368,302,2
2,face_grid,363,326,2
2,face_grid,356,345,2
2,face_grid,347,358,2
2,face_grid,335,370,2
2,face_grid,324,379,2
2,face_grid,311,386,2
2,face_grid,295,393,2
2,face_grid,275,398,2
2,face_grid,255,400,2
2,face_grid,239,398,2
2,face_grid,227,395,2
2,face_grid,216,391,2
2,face_grid,203,383,2
2,face_grid,194,374,2
2,face_grid,184,359,2
2,face_grid,175,337,2
2,face_grid,168,316,2
2,face_grid,163,297,2
2,face_grid,159,277,2
2,face_grid,157,254,2
2,face_grid,158,235,2
2,face_grid,163,215,2
2,face_grid,173,198,2
2,face_grid,190,185,2
2,face_grid,210,176,2
2,right_pupil,301,223,2
2,right_pupil,311,221,2
2,right_pupil,300,214,2
2,right_pupil,291,225,2
2,right_pupil,302,231,2
2,left_pupil,199,243,2
2,left_pupil,209,241,2
2,left_pupil,197,235,2
2,left_pupil,189,245,2
2,left_pupil,201,252,2
3,left_eye_border,184,237,2
3,left_eye_border,186,235,2
3,left_eye_border,188,232,2
3,left_eye_border,193,229,2
3,left_eye_border,200,226,2
3,left_eye_border,208,226,2
3,left_eye_border,215,227,2
3,left_eye_border,221,229,2
3,left_eye_border,223,231,2
3,left_eye_border,221,232,2
3,left_eye_border,217,234,2
3,left_eye_border,211,236,2
3,left_eye_border,204,238,2
3,left_eye_border,197,239,2
3,left_eye_border,192,239,2
3,left_eye_border,188,239,2
3,right_eye_border,280,219,2
3,right_eye_border,282,217,2
3,right_eye_border,287,213,2
3,right_eye_border,294,209,2
3,right_eye_border,302,207,2
3,right_eye_border,309,206,2
3,right_eye_border,316,207,2
3,right_eye_border,319,209,2
3,right_eye_border,322,210,2
3,right_eye_border,319,214,2
3,right_eye_border,315,216,2
3,right_eye_border,309,217,2
3,right_eye_border,302,219,2
3,right_eye_border,294,220,2
3,right_eye_border,288,220,2
3,right_eye_border,283,220,2
3,face_grid,238,154,2
3,face_grid,265,150,2
3,face_grid,290,150,2
3,face_grid,315,156,2
3,face_grid,334,167,2
3,face_grid,348,184,2
3,face_grid,358,202,2
3,face_grid,365,225,2
3,face_grid,369,247,2
3,face_grid,367,262,2
3,face_grid,372,293,2
3,face_grid,367,317,2
3,face_grid,360,336,2
3,face_grid,351,350,2
3,face_grid,339,363,2
3,face_grid,327,372,2
3,face_grid,314,381,2
3,face_grid,299,388,2
3,face_grid,278,393,2
3,face_grid,258,396,2
3,face_grid,243,394,2
3,face_grid,230,390,2
3,face_grid,219,385,2
3,face_grid,206,376,2
3,face_grid,197,366,2
3,face_grid,187,350,2
3,face_grid,177,328,2
3,face_grid,170,306,2
3,face_grid,166,285,2
3,face_grid,162,264,2
3,face_grid,159,241,2
3,face_grid,160,221,2
3,face_grid,165,201,2
3,face_grid,175,184,2
3,face_grid,192,170,2
3,face_grid,212,161,2
3,right_pupil,304,212,2
3,right_pupil,314,210,2
3,right_pupil,303,203,2
3,right_pupil,295,213,2
3,right_pupil,306,220,2
3,left_pupil,202,231,2
3,left_pupil,211,229,2
3,left_pupil,200,223,2
3,left_pupil,192,233,2
3,left_pupil,203,240,2
